week,total_submissions
1,257
2,215
3,157
4,164
5,118
6,92
7,103
8,131
9,109
10,103
11,124
12,120
13,107
14,122
15,119
16,79
17,107
18,98
19,113
20,109
21,83
22,82
23,104
24,116
25,90
26,82
27,71
28,102
29,113
30,141
31,107
32,129
33,137
34,83
35,88
36,88
37,93
38,88
39,84
40,110
41,102
42,119
43,85
44,102
45,127
46,112
47,106
48,126
49,106
50,112
51,103
52,97
53,115
54,111
55,113
56,110
57,110
58,83
59,107
60,98
61,101
62,80
63,103
64,92
65,89
66,102
67,111
68,99
69,109
70,122
71,105
72,155
73,155
74,158
75,174
76,149
77,161
78,188
79,163
80,178
81,162
82,152
83,172
84,170
85,163
86,178
87,153
88,189
89,186
90,167
91,145
92,133
93,130
94,134
95,175
96,185
97,186
98,173
99,208
100,199
101,149
102,191
103,128
104,220
105,145
106,165
107,162
108,176
109,203
110,164
111,153
112,146
113,155
114,154
115,144
116,152
117,156
118,167
119,231
120,221
121,157
122,183
123,177
124,190
125,110
126,177
127,183
128,110
129,74
130,117
131,128
132,120
133,161
134,164
135,175
136,160
137,178
138,166
139,157
140,166
141,155
142,106
143,119
144,148
145,190
146,211
147,218
148,188
149,177
150,203
151,132
152,133
153,225
154,192
155,191
156,131
157,137
158,153
159,117
160,165
161,137
162,125
163,167
164,164
165,130
166,250
167,98
168,140
169,151
170,170
171,191
172,148
173,196
174,181
175,205
176,199
177,190
178,101
179,107
180,222
181,147
182,180
183,139
184,161
185,187
186,165
187,160
188,218
189,195
190,153
191,205
192,196
193,160
194,179
195,178
196,142
197,161
198,195
199,184
200,153
201,178
202,147
203,140
204,163
205,190
206,158
207,186
208,177
209,153
210,139
211,150
212,133
213,130
214,101
215,174
216,122
217,148
218,124
219,120
220,126
221,108
222,149
223,122
224,115
225,174
226,167
227,141
228,176
229,174
230,190
231,214
233,179
234,155
235,192
236,171
237,156
238,204
239,206
240,210
241,178
242,165
243,196
244,164
245,149
246,133
247,119
248,141
249,141
250,196
251,152
252,183
253,165
254,172
255,166
256,172
257,151
258,177
259,124
260,149
261,183
262,196
263,189
264,164
265,151
266,154
267,156
268,177
269,169
270,141
271,164
272,178
273,214
274,151
275,159
276,192
277,166
278,180
279,173
280,165
281,170
282,169
283,170
284,184
285,184
286,148
287,164
288,127
289,196
290,185
291,134
292,85
293,151
294,126
295,139
296,136
297,146
298,116
299,112
300,115
301,121
302,126
303,112
304,126
305,132
306,111
307,148
308,142
309,143
310,116
311,136
312,155
313,142
314,133
315,168
316,144
317,148
318,133
319,140
320,153
321,154
322,149
323,152
324,129
325,156
326,165
327,127
328,122
329,133
330,161
331,162
332,167
333,161
334,147
335,137
336,137
337,133
338,138
339,147
340,143
341,164
342,136
343,145
344,146
345,142
346,136
347,152
348,160
349,181
350,148
351,164
352,168
353,162
354,151
355,158
356,115
357,157
358,158
359,157
360,164
361,152
362,166
363,112
364,175
365,179
366,179
367,174
368,176
369,178
370,137
371,156
372,171
373,154
374,134
375,124
376,131
377,154
378,184
379,165
380,179
381,166
382,113
